Comment,Sentiment
отличная компания,positive
Никогда больше не буду работать с этой ТК,negative
все очень удобно и понятно,positive
Людииии Хотите остаться без подарков тогда ДЛ в помощь Сроки не соблюдаются нет контроля по передвижению груза обещано одно время в итоге меняют и не знают точного времени поступления заказа  больше никогда не воспользуемся услугами данной шарашкиной конторки,negative
С внутренними перевозками разберитесь  Деловые Линии Нарушать права потребителей  Плохое направление ,negative
Мария  добрый вечер  До несите до руководства  Вы должны беречь грузы  сроки и честность упаковки  Мы страхуем грузы  хотя вы целиком и полностью отвечаете за них  Прекратите упаковывать всё подрят  И исполняйте нормы упаковки в Пб  Грузы попадающие под посылки  Едут в общем ПАКе с востока СПБ  точно ,neutral
Уточняю  с чужими грузами подходящими по габаритам Вместе  это нарушение прав потребителей  В токай упаковке  груз должен ехать один  ПБ НАЗЫВАЕТСЯ,neutral
а вы точно работаететогда как можно назвать работой то что вы привезли нам неверный груз еще  и вот  вы не делаете НИЧЕГО чтобы доставить нам наш НИ ЧЕ ГО Отписки стандартные ожидайте еще ожидайте и тд,negative
Добрый деньПроясните пожалуйста информацию по стоимости экспедирования из гХимки до терминала в Москве Несколько раз отправляли грузы экспедирование стоило  руб  В этот раз больше  руб еще и страховку в два раза больше включили При том что параметры груза абсолютно одинаковые Обращение подал через горячую линию еще неделю назад ответа все еще нет менеджеры отпинывают что пока все в работе,neutral
Аналогичная ситуация как у Сергея Мальцева только с погрузочными работами Расчитанная на сайте стоимость  руб Фактическая   руб Я грузы отправляю  раза в неделю и всегда расчитанная стоимость примерно равна фактической И тут такая неожиданность Ответ оператору убил у нас так калькулятор посчитал На сайте посчитайте какая мне разница как Ваш считает Вы нарушаете права потребителя не имеете право так завышать стоимость когда груз уже у Вас Если ставки изменились я об этом заранее до оформления заказа должна знать В результате мой груз  дня лежит в Москве никто ничего не пересчитывает сегодня должен был ехать на склад Вайлдберриз не поехал на понедельник перенесли опять получается не поедет Если бы страховка вот на эту задержку по Вашей вине работала Вы бы наверное оперативнее все делали Видео кстати сняла как у Вас считает и как впринципе тоде у Вас но на сайте,Neutral
спасибо что заранее выкатили график,neutral
много лет пользуюсь этой компанией Очень довольна И сроки и цена,positive
Вы работников своих за людей не держите Полгода человек работает и до сих пор только обещаниями кормят и поповоду рабочей одежды и поповоду инструмента Водители из других городов в Смоленск посёлок Маркатушино   приезжают и помыться негде не говоря уже о общем туалете и одной раковине Можно писать бесконечно и уверена ничего не изменится ,negative
Очень разочарована данной компанией Дважды теряют мои сопроводительные документы к грузу изза чего происходят срывы поставок Раньше было лучше Сейчас у кого ни спрошу  все не довольны данной компанией То груз перепутают то чтото потеряют то забудут,negative
Впервые воспользовались услугами данной компании И больше вряд ли воспользуемся Заказывали доставку груза из Москвы в Минск Вопервых сроки доставки задержали на несколько дней каждый день писали менеджеру в чат и нам отвечали одно и то же груз в пути задержка изза погодных условий Ну бывает подумали мы И вот когда груз прибыл на терминал нам позвонили через два дня и уведомили что доставка через  минут Просьбы сделать пометку или уведомить водителя что нужно предупредить за пару часов проигнорированы Водитель сказал что либо выгрузит в другом месте либо привезет в следующий раз В итоге получатель не смог сам успеть приехать в Минск чтобы произвести приемку грузаИ ещё почему такая огромная транспортная компания которая осуществляет доставку в Беларусь в том числе не может отправлять коды для того чтобы зарегистрироваться в личном кабинете и отслеживать статус посылки на белорусский номер То есть мы не могли сами даже узнать о статусе заказа приходилось каждый день дергать продавцаНеприятное впечатление сложилось Отношение к клиентам не понравилось,negative
отличная новость,positive
Потеряли груз и не даёте никакой полноценной информации Абсолютно не оправдываете свою репутацию,negative
Прошу разобраться При предварительном расчете выдана  одна сумма а при окончательной оплате выставлен счёт в  раза больше,negative
Получается что у деловых линий недостоверный калькулятор расчета стоимости доставки,negative
Скажите пожалуйста как могут стоить доставка двух коробок у вас и  коробок у ПЭК  практически в одну цену Вы их по пути в сауну завозите или везете на бентли,neutral
Мой груз потерян деловые линии никак не реагируют в только обещают Вообще очень неприятная ситуация я могу простить любую посылку но эта посылка это подарок для моего ребенка от моей организации Он его очень ждёт Организация тоже заинтересована именно в получении с меня спрашивают Мне сотрудники деловых линий тут же предложили написать претензию по страховке а мне не нужна страховка мне нужна посылка потому что вопервых это для ребенка и ребенок ждёт вовторых  страховку не я получу  я получу только ущерб и убыток Посылку доставили один раз были проблемы с получателем вносили корректировки Курьер мне посылку не выдал а я сгоряча сказала ему что это просто новогодний подарок и такие сложности По общении  операторами я тоже упоминала что это подарок для ребенка После этого посылка пропала Уважаемые руководители деловых линий если у вас в организации имеются факты хищения тогда разбирайтесь с этим а не отмалчивайтесь Не надо все списывать на страховку иногда не нужна страховка нужна именно вещь Груз в Иркутске на складе или у водителя я требую найди мою посылку и доставить мне ,negative
Заказал на Озоне себе подарок к ДР и НГ Подарок отправили ДЛ Груз пришёл с ошибочным возвратом отказом но несмотря на уговоры с моей стороны со стороны Озона и самого отправителя ДЛ приняли единственно правильное решение  подзаработать для СЕБЯ денег и отправили груз назад  отправителю Вот это я понимаю  КЛИЕНТООРИЕНТИРОВАННОСТЬ  Теперь я без подарка и без денег Низкий Вам поклон за отличное Новогоднее настроение  Пусть в Новом Году вы станете ещё успешнее и богаче ,negative
Скажите из Красноярска в Караганду полозья  м длиной и вес  кг Доставка есть,neutral
Доброго дня  мой груз доставлен не по тому адресу Я в поезде в данный момент и нет возможности выяснить почему   номер  Прошу исправить ситуацию  тк  вообще не понятно что за дела Доставлен село Преображенка а дб Самара ул Демократическая  при отправке все чётко обговаривалось Спасибо,negative
полезно,neutral
заказывал доставки до маркетплейса по горячей линии оформил заявку менеджер не правильно указала адрес забора грузаводитель его естественно не нашел и сбросил заявкутк указала она его не корректно но это ладнобывает халатность невнимательность но меня даже не предупредили что заявка отменилась все мои сроки рухнули остался без товара на маркетплейсе перезаказал доставкууже теперь сам через личный кабинетввел правильный адрес решил перепроверить на горячей линии его и вуаля он не пропичатался у нихте опять бы отменил его водитель и я бы даже не знал менеджер его прописала корректно я  раз переспрашивал день иксприехала машина забирать мои  места до москвы на след день приходят  платежки на  место и на   как будто разные люди это оформлялии должен был оплатить около  а изза х накладных выходит  говорят вы сами сделали  заявки нашел доказательства что заказывал  места с одного грузоотправителя сижу жду что ответят груз опять застрял опять сроки в топку,Negative
груз КазаньПермь  кг на него кг добавочной упаковки навязанной ненужной услуги ЕЩЕ и груз будет идти ПЯТЬ ДНЕЙ СТОИМОСТЬ  рублей кг груза Ребята вы совсем ,negative
